orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
arrentye alkerarenye atherre,Arrentye alkerarenye atherre,NA,n.,NA,Magellanic clouds
arreny-arrenye,arreny-arrenye,NA,n.,NA,"everywhere, all over"
arrenyakerre,arrenyakerre,NA,dem.,NA,way over there
arrenyantye,arrenyantye,NA,n.,caterpillar,type of grey caterpillar that lives on leaves and ...
arrenye,arrenye,2,dem.,yonder,"over there, yonder"
arrenyey-enenke,"arrenyey-enenke |1, arrenyey-enenke |2",NA,vt.,NA,go and put something down and then return.
arrenyeyern-alpenke,arrenyeyern-alpenke,NA,vt.,NA,take or bring something. Used when speaking to or ...
arreparlere,Arreparlere,NA,n.,NA,"Johnson's Waterhole, Eight Mile Waterhole"
arreparrewenke,arreparrewenke,2,vt.,make wax,make wax by melting spinifex resin on the fire
arrepwenge,arrepwenge,NA,n.,NA,white clouds that come before rain clouds
arrepwenge-pwenge,arrepwenge-pwenge,NA,n.,NA,first hair a teenager grows on his face; bum fluff...
arrepwentye-pwentye,arrepwentye-pwentye,NA,n.,NA,"good singer, someone who sings or knows a lot of s..."
arrere,arrere,2,n.,NA,"near, close by"
arrerenty-arrerentye,arrerenty-arrerentye,2,n.,NA,close to lots of things
arrerentye,arrerentye,NA,n.,NA,"closer, close, near"
arrerew-arrere,arrerew-arrere,2,n.,NA,close together
arrerewantyenke,arrerewantyenke,NA,vi.,NA,"get closer to something, sneak up on something"
arrereye,arrereye,6,kin.,sister,older sister
arreteme,arreteme,3,n.,NA,"permanently, for good"
arretharrenke,arretharrenke,NA,vi.,get closer,move closer
arrethinenke,arrethinenke,NA,vt.,make more available,"make something become larger, more numerous or abu..."
arretyamernewarle,arretyamernewarle,NA,dem.,NA,towards them in the distance
arretyangkwarre,arretyangkwarre,2,dem.,NA,"through over there, that way over there"
arretyarenge,arretyarenge,2,dem.,NA,belonging to that (person) there
arretyatherrewe,arretyatherrewe,NA,n.,NA,for or to those two over there
arretye penhe,arretye penhe,NA,dem.,NA,from way over there
arretye+,arretye+,2,pre.,yonder,that thing or person over there in the distance. T...
arretyele,arretyele,3,dem.,NA,"on, at or in that over there"
arretyetheye,arretyetheye,NA,dem.,NA,"from over there in the distance, from the other si..."
arretyewakerte,arretyewakerte,NA,dem.,NA,"to the other end, at the other end"
arretyewarle,arretyewarle,NA,dem.,NA,"over there in the distance, towards that thing in ..."
arretyewe,arretyewe,NA,dem.,NA,"that one over there, for that one over there"
arrewalye,arrewalye,NA,n.,NA,"deceased, dead person, dead body"
arrewanenye,arrewanenye,NA,n.,NA,not wanting to talk; shy or reluctant to speak
arrewangampeye,arrewangampeye,2,n.,NA,beard just starting to go grey
